OTU,Genus,Family,Order,Class,Phylum
145,Otu000299,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
146,Otu000310,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
147,Otu000314,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
148,Otu000317,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
149,Otu000318,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
150,Otu000319,Slackia,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
151,Otu000322,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
152,Otu000324,Gordonibacter,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
153,Otu000328,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
154,Otu000331,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
155,Otu000349,Collinsella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
156,Otu000355,Allisonella,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
157,Otu000356,Gemella,Bacillales_Incertae_Sedis_XI,Bacillales,Bacilli,Firmicutes
158,Otu000367,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
159,Otu000371,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
160,Otu000372,Weissella,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes
161,Otu000373,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
162,Otu000374,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
163,Otu000378,Rothia,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
164,Otu000380,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
165,Otu000383,Collinsella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
166,Otu000393,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
167,Otu000394,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
168,Otu000395,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
169,Otu000400,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
170,Otu000410,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
171,Otu000415,Akkermansia,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia
172,Otu000419,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
173,Otu000434,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
174,Otu000447,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
175,Otu000450,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
176,Otu000451,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
177,Otu000461,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
178,Otu000464,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
179,Otu000465,Dialister,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
180,Otu000470,Paenibacillus,Paenibacillaceae_1,Bacillales,Bacilli,Firmicutes
181,Otu000478,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
182,Otu000496,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
183,Otu000498,Anaerococcus,Clostridiales_Incertae_Sedis_XI,Clostridiales,Clostridia,Firmicutes
184,Otu000499,Olsenella,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
185,Otu000501,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
186,Otu000503,Pseudoflavonifractor,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
